node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,Fitting Area Wear(mm^2)
17.07170091,12.67215648,8.301623991,6.528689808,5.289439345,7.758682512,9.071159628,6.236659514,4.560310948,5.593901926,3.126494216,5.694922678,10.56368199,6.951911398,16.85321615,14.81834475,0.84
14.57282556,13.24159659,8.904587308,9.294890956,3.128326649,7.892124974,10.05389462,7.159435513,4.986831389,6.101549081,2.596985362,5.827590582,10.5983525,7.617271861,23.68783388,10.38672014,0.85
14.65147459,11.34808087,10.07924067,9.00244885,2.741826965,8.286919454,10.6470121,8.35866852,5.346383761,5.891399947,3.702966379,5.81818887,10.04085827,8.774303563,27.39233739,9.13676126,0.86
14.88972022,14.78867733,6.079820417,7.720503654,3.641772384,8.765055621,8.817730865,7.130589967,5.102414373,6.279079094,3.695000409,6.260823398,10.3567206,8.411455235,25.48302646,7.444582211,0.87
26.47162816,9.632302698,8.021243802,4.602834835,3.946005301,5.107343616,6.5363217,8.903783758,4.301120895,6.232092896,2.738051759,9.390306718,17.18203512,4.916501646,7.591695231,3.399162254,0.88
10.66427594,7.181885507,10.48393229,8.456067327,3.938309653,7.608211021,22.44414221,13.48537928,9.192078361,13.94097657,6.733206192,7.187040119,10.74763503,5.143396398,5.101408626,5.659907281,0.89
15.94882462,13.34976004,10.87510754,6.881475552,7.2436657,7.57677844,22.71006316,11.78938853,7.201069317,10.44935517,6.643772925,6.666636703,11.3449451,3.403580308,2.189413672,2.891633064,0.9
19.10989002,11.44528706,16.07797922,5.728440963,7.681580588,8.2227586,22.28607487,13.35360903,8.583918694,12.47335028,7.835962356,5.741179158,11.2311306,3.759379988,2.134653655,2.251566863,0.91
16.09087897,16.37768509,11.48667202,8.717613934,6.385441046,8.675838221,24.70132357,12.12494551,8.324231167,11.75182401,7.415055766,5.682435003,10.61646467,3.912042776,1.923097814,3.081857406,0.92
14.9675296,11.30955992,17.65421375,12.06543671,5.555410767,8.390810283,24.28828795,11.80470632,7.496603069,11.88213102,6.921160206,6.630881819,12.7151129,3.780709282,1.998457307,3.578192599,0.93
16.4299028,15.51663675,15.25256344,11.08058459,5.597218385,7.378528313,23.11293069,12.98611667,8.146831599,13.84511395,7.058530951,6.945858565,13.47157468,3.780222879,1.972001607,3.157518527,0.93
14.46027653,14.76061101,16.92939357,9.585650346,6.868137626,6.937523537,24.83568041,12.66423544,6.957119942,12.80882556,6.987859743,7.29543341,11.88618177,2.79475714,1.78516364,1.733516305,0.94
15.35420932,13.19532201,15.26593817,8.252764114,8.844142949,6.506019444,22.84246432,11.16727153,7.109538818,13.32527271,7.596277274,7.735540224,11.86073791,3.289794687,1.747724495,2.386497182,0.95
15.13042034,12.79901385,12.99060834,5.978605743,9.728843499,6.556074045,22.69900761,10.79288029,7.91882772,13.96232668,7.562145104,8.021917792,11.28249361,3.813996143,2.08219495,3.326370504,0.96
16.31578244,10.58738445,12.25084512,6.219025336,7.116801613,6.090900399,24.33927183,11.79315218,8.249638024,11.59556432,7.586351059,6.797435047,12.62149918,5.152238511,2.730469557,2.920825469,0.96
14.03492638,9.224492698,11.25106096,9.293730708,5.686812479,6.587101717,20.65641197,10.18025529,8.473801019,14.06763733,7.979950901,6.665284962,12.22110417,4.968396187,1.94346748,2.186422656,0.97
20.00067601,11.5071864,11.4595833,10.64449369,5.432567211,6.985547824,21.70175651,12.5848079,6.937414013,12.78409898,7.049246664,7.020773286,12.70177828,4.76727576,2.017359611,2.628539551,0.98
14.02756424,11.29649504,12.84749399,8.298824086,6.048342455,6.204411879,20.60117498,9.654034039,7.220848063,14.15172654,7.3812618,7.672658408,11.76227919,5.542532016,2.781678988,2.738552302,0.99
14.53588392,11.81250253,12.12772637,8.452941176,8.223201656,5.850464534,21.91675928,9.79952915,6.008252684,14.67844692,7.080272406,8.992383007,10.71786168,6.145124925,3.110225725,2.794503175,0.99
15.71916287,10.52873001,9.639289882,7.631136125,7.860298706,8.02720663,23.01412503,8.290558436,6.006633069,12.35960551,6.852926221,9.482107756,10.2687016,5.941470216,2.729171916,1.926306632,1
16.49750282,10.39606421,9.387746858,7.763902077,7.215601713,6.230553129,21.74147983,7.208592926,6.524553841,16.25096866,8.015395969,9.241821862,10.96670267,6.255610631,2.284651176,1.836360191,1
